Phase,Task ID,Task Description,Owner,Priority,Status,Est. Duration (days),Comments
3 – Kafka & OpenSearch,3.3,Deploy OpenSearch cluster (3 data nodes) in Region A,DevOps,High,Not started,2,Configure JVM & heap
3 – Kafka & OpenSearch,3.4,Configure OpenSearch snapshot repo to MinIO (A),DevOps,Medium,Not started,0.5,Test snapshot/restore
3 – Kafka & OpenSearch,3.5,Configure Debezium Postgres connector into Kafka in Region A,DevOps,High,Not started,1.5,Topics per business table
3 – Kafka & OpenSearch,3.6,Configure OpenSearch sink connector topics -> indices,DevOps,High,Not started,1.5,Define mappings & index patterns
3 – Kafka & OpenSearch,3.7,Verify end-to-end CDC: Postgres change -> Kafka -> OpenSearch,DevOps,High,Not started,1,Use test table first
4 – App Migration,4.1,Containerize SaamHRM / SaamHCM (Dockerfile + K8s manifests/Helm),Dev,High,Not started,3-5,Include config via Secrets/ConfigMaps
4 – App Migration,4.2,Containerize DORA portal,Dev,Medium,Not started,3-5,Same pattern
4 – App Migration,4.3,Create Helm charts / Kustomize for core apps,DevOps,High,Not started,3,Separate values per env
4 – App Migration,4.4,Deploy SaamHRM to Region A with Postgres backend,DevOps,High,Not started,2,Blue/green deployment
4 – App Migration,4.5,Integrate SaamHRM read/search screens with OpenSearch,Dev,Medium,Not started,3,Use indices from Kafka pipeline
4 – App Migration,4.6,Deploy DORA portal to Region A,DevOps,Medium,Not started,2,Route via Traefik
4 – App Migration,4.7,Define Non-prod namespaces (Dev/Test/ACC) and CI/CD pipeline,DevOps,High,Not started,3,GitOps preferred (ArgoCD/Flux)
5 – Multi-region & DR,5.1,Replicate Postgres (async) from Region A -> B,DevOps,High,Not started,2,Logical replication or DR cluster
5 – Multi-region & DR,5.2,Deploy Kafka + OpenSearch stack in Region B (optional),DevOps,Medium,Not started,4,Mirror of Region A
5 – Multi-region & DR,5.3,Configure Kafka MirrorMaker 2 A <-> B (critical topics),DevOps,Medium,Not started,2,Cross-region replication
5 – Multi-region & DR,5.4,Configure OpenSearch CCR between A and B (if needed),DevOps,Medium,Not started,2,For global search availability
5 – Multi-region & DR,5.5,Set up global DNS health checks and failover logic,Infra,High,Not started,2,Cloudflare or similar
5 – Multi-region & DR,5.6,Run failover test: simulate Region A outage,Infra,High,Not started,1,Capture lessons learned
6 – Control Panel,6.1,Provision VM for Virtualmin/CyberPanel in Region A,Infra,Low,Not started,1,For classic hosting/mail
6 – Control Panel,6.2,Install Virtualmin Pro or CyberPanel and configure domains,Infra,Low,Not started,2,Marketing sites mail
6 – Control Panel,6.3,Integrate panel DNS with K8s DNS model (if required),Infra,Low,Not started,1.5,Or use DNS provider directly
7 – Hardening & Compliance,7.1,Implement NetworkPolicies and PodSecurity/Kyverno policies,DevOps,High,Not started,3,Namespace-by-namespace rollout
7 – Hardening & Compliance,7.2,Introduce central secrets management (Vault / External Secrets),DevOps,Medium,Not started,3,Rotate existing secrets
7 – Hardening & Compliance,7.3,Harden Traefik (timeouts headers rate limits),DevOps,Medium,Not started,2,OWASP-style headers
7 – Hardening & Compliance,7.4,Tune Postgres Kafka and OpenSearch for production workloads,DevOps,Medium,Not started,4,Use metrics from Prometheus
7 – Hardening & Compliance,7.5,Document DR/BCP runbooks and RTO/RPO targets,Architecture,Medium,Not started,3,For audits (SOC2/GDPR/NDPB)
